Settlement ,Pleiades URI,DARE,Vici URI (Map linking) ,Topostext,Latitude,Longitude,Comments
Ipsca ,https://pleiades.stoa.org/places/265937,http://dare.ht.lu.se/places/25137,http://vici.org/vici/15728,,3.767.242,-439.041,
Iptuci,https://pleiades.stoa.org/places/265938,http://dare.ht.lu.se/places/25138.html,https://vici.org/vici/11279/,https://topostext.org/place/378000UIpt,37.755.932,-4.377.602,Cabezo de Hortales 
Irippo ,https://pleiades.stoa.org/places/256229,http://dare.ht.lu.se/places/31268.html,http://vici.org/vici/16062,,37.001.163,-5.391.451,
Irni,https://pleiades.stoa.org/places/256230,http://dare.ht.lu.se/places/22529.html,https://vici.org/vici/15331/,https://topostext.org/place/370000UIrn,37.050.024,-5.108.907,
Isturgi,https://pleiades.stoa.org/places/265939,http://dare.ht.lu.se/places/22233.html,https://vici.org/vici/15298/,https://topostext.org/place/380-40UIst,38.030.217,-40.224.375,
Italica,https://pleiades.stoa.org/places/256231,http://dare.ht.lu.se/places/16834.html,https://vici.org/vici/3665/,https://topostext.org/place/374000UIta,37.442.656,-60.451.175,
Ituci / Itucci,https://pleiades.stoa.org/places/256232,http://dare.ht.lu.se/places/31269.html,https://vici.org/vici/3670/,,3.744.811,-6.363.638,Campo de Tejada
Ituci Virtus Iulia ,https://pleiades.stoa.org/places/265938,http://dare.ht.lu.se/places/25138,http://vici.org/vici/11279,,,,Torreparedones 
Iulia Traducta,https://pleiades.stoa.org/places/256235,http://dare.ht.lu.se/places/25200.html,https://vici.org/vici/3701/,,3.744.811,-6.363.638,
Iulipa,https://pleiades.stoa.org/places/256236,http://dare.ht.lu.se/places/31270.html,https://vici.org/vici/15755/,,38.649.671,-5.657.006,
Lacca ,https://pleiades.stoa.org/places/256247,http://dare.ht.lu.se/places/31273.html,https://vici.org/vici/15757/,,36.826.411,-5.726.258,
Lacilbula ,https://pleiades.stoa.org/places/256107,http://dare.ht.lu.se/places/31250,http://vici.org/vici/16057,https://topostext.org/place/368000UCil,3.674.937,-5.342.495,
Lacimurga Constantia Iulia ,https://pleiades.stoa.org/places/256250,http://dare.ht.lu.se/places/31274,http://vici.org/vici/15758,,38.994.909,-5.473.622,
Lacipo/ Lacippo ,https://pleiades.stoa.org/places/256252,http://dare.ht.lu.se/places/22424,https://vici.org/vici/45672/,https://topostext.org/place/364000ULac,36.443.331,-5.273.526,
Lacunis ,https://pleiades.stoa.org/places/256253,http://dare.ht.lu.se/places/31275,http://vici.org/vici/3662,,3.808.679,-6.274.346,
Laelia,https://pleiades.stoa.org/places/256254,http://dare.ht.lu.se/places/31276.html,https://vici.org/vici/16064/,,37.427.015,-6.165.904,
Laepia Regia ,https://pleiades.stoa.org/places/260584,,,,,,
Lascuta ,https://pleiades.stoa.org/places/256258,http://dare.ht.lu.se/places/31278,http://vici.org/vici/16065,,36.460.524,-5.723.687,
Lucis Dubiae Fanum,no info,,,,,,No info Pleiades
